SPPTleID	FilePath	FileSize	experiment_name	experiment_id	vendor	target_gene	owner	date	email
S10021	File1=/vordemo/S10021	75	PPT	AXX1003-001	GeneVendor1	GeneA	George Baker	3/1/20	compbioteam@vorbio.com
S10022	File1=/vordemo/S10022	94	PPT	AXX1003-001	GeneVendor1	GeneA	George Baker	3/1/20	compbioteam@vorbio.com
S10023	File1=/vordemo/S10023	82	PPT	AXX1003-001	GeneVendor1	GeneB	George Baker	3/1/20	compbioteam@vorbio.com
S10024	File1=/vordemo/S10024	81	PPT	AXX1003-001	GeneVendor1	GeneC	George Baker	3/1/20	compbioteam@vorbio.com
S10025	File1=/vordemo/S10025	83	PPT	AXX1003-001	GeneVendor1	GeneA	George Baker	3/1/20	compbioteam@vorbio.com
S10026	File1=/vordemo/S10026	99	PPT	AXX1003-001	GeneVendor1	GeneA	George Baker	3/1/20	compbioteam@vorbio.com
S10027	File1=/vordemo/S10027	98	PPT	AXX1003-001	GeneVendor1	GeneB	George Baker	3/1/20	compbioteam@vorbio.com
S10028	File1=/vordemo/S10028	94	PPT	AXX1004-001	GeneVendor1	GeneC	George Baker	3/1/20	compbioteam@vorbio.com
S10029	File1=/vordemo/S10029	83	PPT	AXX1004-001	GeneVendor1	GeneA	George Baker	3/1/20	compbioteam@vorbio.com
S10030	File1=/vordemo/S10030	72	PPT	AXX1004-001	GeneVendor1	GeneA	George Baker	3/1/20	compbioteam@vorbio.com
S10031	File1=/vordemo/S10031	87	PPT	AXX1005-001	GeneVendor1	GeneB	George Baker	4/1/20	compbioteam@vorbio.com
S10032	File1=/vordemo/S10032	64	PPT	AXX1005-001	GeneVendor1	GeneC	George Baker	4/1/20	compbioteam@vorbio.com
S10033	File1=/vordemo/S10033	61	PPT	AXX1005-001	GeneVendor1	GeneA	George Baker	4/1/20	compbioteam@vorbio.com
S10034	File1=/vordemo/S10034	77	PPT	AXX1005-001	GeneVendor1	GeneA	George Baker	4/1/20	compbioteam@vorbio.com
S10035	File1=/vordemo/S10035	50	PPT	AXX1005-001	GeneVendor1	GeneB	George Baker	4/1/20	compbioteam@vorbio.com
S10036	File1=/vordemo/S10036	50	PPT	AXX1005-001	GeneVendor1	GeneC	George Baker	4/1/20	compbioteam@vorbio.com
S10037	File1=/vordemo/S10037	97	PPT	AXX1005-001	GeneVendor1	GeneA	George Baker	4/1/20	compbioteam@vorbio.com
S10038	File1=/vordemo/S10038	56	PPT	AXX1005-001	GeneVendor1	GeneA	George Baker	4/1/20	compbioteam@vorbio.com
S10039	File1=/vordemo/S10039	59	PPT	AXX1005-001	GeneVendor1	GeneB	George Baker	4/1/20	compbioteam@vorbio.com
S10040	File1=/vordemo/S10040	65	PPT	AXX1005-001	GeneVendor1	GeneC	George Baker	4/1/20	compbioteam@vorbio.com
S10041	File1=/vordemo/S10041	66	PPT	AXX1005-001	GeneVendor1	GeneA	George Baker	4/1/20	compbioteam@vorbio.com
S10042	File1=/vordemo/S10042	98	PPT	AXX1005-001	GeneVendor1	GeneA	George Baker	4/1/20	compbioteam@vorbio.com
S10043	File1=/vordemo/S10043	67	PPT	AXX1005-001	GeneVendor1	GeneB	George Baker	4/1/20	compbioteam@vorbio.com
S10044	File1=/vordemo/S10044	81	PPT	AXX1005-001	GeneVendor1	GeneC	George Baker	4/1/20	compbioteam@vorbio.com
S10045	File1=/vordemo/S10045	52	PPT	AXX1005-001	GeneVendor1	GeneA	George Baker	4/1/20	compbioteam@vorbio.com
S10046	File1=/vordemo/S10046	89	PPT	AXX1005-001	GeneVendor1	GeneA	George Baker	4/1/20	compbioteam@vorbio.com
S10047	File1=/vordemo/S10047	60	PPT	AXX1005-001	GeneVendor1	GeneB	George Baker	4/1/20	compbioteam@vorbio.com
S10048	File1=/vordemo/S10048	71	PPT	AXX1005-001	GeneVendor1	GeneC	George Baker	4/1/20	compbioteam@vorbio.com
S10049	File1=/vordemo/S10049	88	PPT	AXX1005-001	GeneVendor1	GeneA	George Baker	4/1/20	compbioteam@vorbio.com
S10050	File1=/vordemo/S10050	87	PPT	AXX1005-001	GeneVendor1	GeneA	George Baker	4/1/20	compbioteam@vorbio.com
S10051	File1=/vordemo/S10051	95	PPT	AXX1006-001	GeneVendor1	GeneB	Walls Street	7/1/20	compbioteam@vorbio.com
S10052	File1=/vordemo/S10052	89	PPT	AXX1006-001	GeneVendor1	GeneC	Walls Street	7/1/20	compbioteam@vorbio.com
S10053	File1=/vordemo/S10053	68	PPT	AXX1006-001	GeneVendor1	GeneA	Walls Street	7/1/20	compbioteam@vorbio.com
S10054	File1=/vordemo/S10054	77	PPT	AXX1006-001	GeneVendor1	GeneA	Walls Street	7/1/20	compbioteam@vorbio.com
S10055	File1=/vordemo/S10055	77	PPT	AXX1006-001	GeneVendor1	GeneB	Walls Street	7/1/20	compbioteam@vorbio.com
S10056	File1=/vordemo/S10056	91	PPT	AXX1006-001	GeneVendor1	GeneC	Walls Street	7/1/20	compbioteam@vorbio.com
S10057	File1=/vordemo/S10057	56	PPT	AXX1006-001	GeneVendor1	GeneA	Walls Street	7/1/20	compbioteam@vorbio.com
S10058	File1=/vordemo/S10058	94	PPT	AXX1006-001	GeneVendor1	GeneA	Walls Street	7/1/20	compbioteam@vorbio.com
S10059	File1=/vordemo/S10059	81	PPT	AXX1006-001	GeneVendor1	GeneB	Walls Street	7/1/20	compbioteam@vorbio.com
S10060	File1=/vordemo/S10060	68	PPT	AXX1006-001	GeneVendor1	GeneC	Walls Street	7/1/20	compbioteam@vorbio.com
S10061	File1=/vordemo/S10061	63	PPT	AXX1006-001	GeneVendor1	GeneA	Walls Street	7/1/20	compbioteam@vorbio.com
S10062	File1=/vordemo/S10062	86	PPT	AXX1006-001	GeneVendor1	GeneA	Walls Street	7/1/20	compbioteam@vorbio.com
S10063	File1=/vordemo/S10063	90	PPT	AXX1006-001	GeneVendor1	GeneB	Walls Street	7/1/20	compbioteam@vorbio.com
S10064	File1=/vordemo/S10064	54	PPT	AXX1006-001	GeneVendor1	GeneC	Walls Street	7/1/20	compbioteam@vorbio.com
S10065	File1=/vordemo/S10065	60	PPT	AXX1006-001	GeneVendor1	GeneA	Walls Street	7/1/20	compbioteam@vorbio.com
S10066	File1=/vordemo/S10066	60	PPT	AXX1006-001	GeneVendor1	GeneA	Walls Street	7/1/20	compbioteam@vorbio.com
S10067	File1=/vordemo/S10067	65	PPT	AXX1006-001	GeneVendor1	GeneB	Walls Street	7/1/20	compbioteam@vorbio.com
S10068	File1=/vordemo/S10068	50	PPT	AXX1006-001	GeneVendor1	GeneC	Walls Street	7/1/20	compbioteam@vorbio.com
S10069	File1=/vordemo/S10069	88	PPT	AXX1006-001	GeneVendor1	GeneA	Walls Street	7/1/20	compbioteam@vorbio.com
S10070	File1=/vordemo/S10070	71	PPT	AXX1006-001	GeneVendor1	GeneA	Walls Street	7/1/20	compbioteam@vorbio.com
S10071	File1=/vordemo/S10071	79	PPT	AXX1006-001	GeneVendor1	GeneB	Walls Street	7/1/20	compbioteam@vorbio.com
S10072	File1=/vordemo/S10072	60	PPT	AXX1006-001	GeneVendor1	GeneC	Walls Street	7/1/20	compbioteam@vorbio.com
S10073	File1=/vordemo/S10073	93	PPT	AXX1006-001	GeneVendor1	GeneA	Walls Street	7/1/20	compbioteam@vorbio.com
S10074	File1=/vordemo/S10074	50	PPT	AXX1006-001	GeneVendor1	GeneA	Walls Street	7/1/20	compbioteam@vorbio.com
S10075	File1=/vordemo/S10075	62	PPT	AXX1006-001	GeneVendor1	GeneB	Walls Street	7/1/20	compbioteam@vorbio.com
S10076	File1=/vordemo/S10076	88	PPT	AXX1006-001	GeneVendor1	GeneC	Walls Street	7/1/20	compbioteam@vorbio.com
S10077	File1=/vordemo/S10077	67	PPT	AXX1006-001	GeneVendor1	GeneA	Walls Street	7/1/20	compbioteam@vorbio.com
S10078	File1=/vordemo/S10078	89	PPT	AXX1006-001	GeneVendor1	GeneA	Walls Street	7/1/20	compbioteam@vorbio.com
S10079	File1=/vordemo/S10079	64	PPT	AXX1006-001	GeneVendor1	GeneB	Walls Street	7/1/20	compbioteam@vorbio.com
S10080	File1=/vordemo/S10080	92	PPT	AXX1006-001	GeneVendor1	GeneC	Walls Street	7/1/20	compbioteam@vorbio.com
S10081	File1=/vordemo/S10081	88	PPT	AXX1006-001	GeneVendor1	GeneA	Walls Street	7/1/20	compbioteam@vorbio.com
S10082	File1=/vordemo/S10082	92	PPT	AXX1006-001	GeneVendor1	GeneA	Walls Street	7/1/20	compbioteam@vorbio.com
S10083	File1=/vordemo/S10083	98	PPT	AXX1006-001	GeneVendor1	GeneB	Walls Street	7/1/20	compbioteam@vorbio.com
S10084	File1=/vordemo/S10084	86	PPT	AXX1006-001	GeneVendor1	GeneC	Walls Street	7/1/20	compbioteam@vorbio.com
S10085	File1=/vordemo/S10085	87	PPT	AXX1006-001	GeneVendor1	GeneA	Walls Street	7/1/20	compbioteam@vorbio.com
S10086	File1=/vordemo/S10086	82	PPT	AXX1006-001	GeneVendor1	GeneA	Walls Street	7/1/20	compbioteam@vorbio.com
S10087	File1=/vordemo/S10087	88	PPT	AXX1006-001	GeneVendor1	GeneB	Walls Street	7/1/20	compbioteam@vorbio.com
S10088	File1=/vordemo/S10088	51	PPT	AXX1006-001	GeneVendor1	GeneC	Walls Street	7/1/20	compbioteam@vorbio.com
S10089	File1=/vordemo/S10089	59	PPT	AXX1006-001	GeneVendor1	GeneA	Walls Street	7/1/20	compbioteam@vorbio.com
S10090	File1=/vordemo/S10090	93	PPT	AXX1006-002	GeneVendor1	GeneA	Walls Street	7/2/20	compbioteam@vorbio.com
S10091	File1=/vordemo/S10091	67	PPT	AXX1006-002	GeneVendor1	GeneB	Walls Street	7/2/20	compbioteam@vorbio.com
S10092	File1=/vordemo/S10092	99	PPT	AXX1006-002	GeneVendor1	GeneC	Walls Street	7/2/20	compbioteam@vorbio.com
S10093	File1=/vordemo/S10093	62	PPT	AXX1006-002	GeneVendor1	GeneA	Walls Street	7/2/20	compbioteam@vorbio.com
S10094	File1=/vordemo/S10094	72	PPT	AXX1006-002	GeneVendor1	GeneA	Walls Street	7/2/20	compbioteam@vorbio.com
S10095	File1=/vordemo/S10095	62	PPT	AXX1006-002	GeneVendor1	GeneB	Walls Street	7/2/20	compbioteam@vorbio.com
S10096	File1=/vordemo/S10096	73	PPT	AXX1007-001	MicroVendor2	GeneC	Tim Tuner	7/7/20	compbioteam@vorbio.com
S10097	File1=/vordemo/S10097	72	PPT	AXX1007-001	MicroVendor2	GeneA	Tim Tuner	7/7/20	compbioteam@vorbio.com
S10098	File1=/vordemo/S10098	53	PPT	AXX1007-001	MicroVendor2	GeneA	Tim Tuner	7/7/20	compbioteam@vorbio.com
S10099	File1=/vordemo/S10099	84	PPT	AXX1007-001	MicroVendor2	GeneB	Tim Tuner	7/7/20	compbioteam@vorbio.com
S10100	File1=/vordemo/S10100	82	PPT	AXX1007-001	MicroVendor2	GeneC	Tim Tuner	7/7/20	compbioteam@vorbio.com
S10101	File1=/vordemo/S10101	75	PPT	AXX1007-001	MicroVendor2	GeneA	Tim Tuner	7/7/20	compbioteam@vorbio.com
S10102	File1=/vordemo/S10102	51	PPT	AXX1007-001	MicroVendor2	GeneA	Tim Tuner	7/7/20	compbioteam@vorbio.com
S10103	File1=/vordemo/S10103	50	PPT	AXX1007-001	MicroVendor2	GeneB	Tim Tuner	7/7/20	compbioteam@vorbio.com
S10104	File1=/vordemo/S10104	58	PPT	AXX1007-001	MicroVendor2	GeneC	Tim Tuner	7/7/20	compbioteam@vorbio.com
S10105	File1=/vordemo/S10105	62	PPT	AXX1007-001	MicroVendor2	GeneA	Tim Tuner	7/7/20	compbioteam@vorbio.com
S10106	File1=/vordemo/S10106	74	PPT	AXX1007-001	MicroVendor2	GeneA	Tim Tuner	7/7/20	compbioteam@vorbio.com
S10107	File1=/vordemo/S10107	51	PPT	AXX1007-001	MicroVendor2	GeneB	Tim Tuner	7/7/20	compbioteam@vorbio.com
S10108	File1=/vordemo/S10108	55	PPT	AXX1007-001	MicroVendor2	GeneC	Tim Tuner	7/7/20	compbioteam@vorbio.com
S10109	File1=/vordemo/S10109	74	PPT	AXX1007-001	MicroVendor2	GeneA	Tim Tuner	7/7/20	compbioteam@vorbio.com
S10110	File1=/vordemo/S10110	64	PPT	AXX1007-001	MicroVendor2	GeneA	Tim Tuner	7/7/20	compbioteam@vorbio.com
S10111	File1=/vordemo/S10111	72	PPT	AXX1007-001	MicroVendor2	GeneB	Tim Tuner	7/7/20	compbioteam@vorbio.com
S10112	File1=/vordemo/S10112	87	PPT	AXX1007-001	MicroVendor2	GeneC	Tim Tuner	7/7/20	compbioteam@vorbio.com
S10113	File1=/vordemo/S10113	61	PPT	AXX1007-001	MicroVendor2	GeneA	Tim Tuner	7/7/20	compbioteam@vorbio.com
S10114	File1=/vordemo/S10114	73	PPT	AXX1007-001	MicroVendor2	GeneA	Tim Tuner	7/7/20	compbioteam@vorbio.com
S10115	File1=/vordemo/S10115	85	PPT	AXX1007-001	MicroVendor2	GeneB	Tim Tuner	7/7/20	compbioteam@vorbio.com
S10116	File1=/vordemo/S10116	51	PPT	AXX1007-001	MicroVendor2	GeneC	Tim Tuner	7/7/20	compbioteam@vorbio.com
S10117	File1=/vordemo/S10117	62	PPT	AXX1007-001	MicroVendor2	GeneA	Tim Tuner	7/7/20	compbioteam@vorbio.com
S10118	File1=/vordemo/S10118	69	PPT	AXX1007-001	MicroVendor2	GeneA	Tim Tuner	7/7/20	compbioteam@vorbio.com
S10119	File1=/vordemo/S10119	66	PPT	AXX1007-001	MicroVendor2	GeneB	Tim Tuner	7/7/20	compbioteam@vorbio.com
S10120	File1=/vordemo/S10120	88	PPT	AXX1007-001	MicroVendor2	GeneC	Tim Tuner	7/7/20	compbioteam@vorbio.com
S10121	File1=/vordemo/S10121	70	PPT	AXX1007-001	MicroVendor2	GeneA	Tim Tuner	7/7/20	compbioteam@vorbio.com
S10122	File1=/vordemo/S10122	72	PPT	AXX1007-001	MicroVendor2	GeneA	Tim Tuner	7/7/20	compbioteam@vorbio.com
S10123	File1=/vordemo/S10123	61	PPT	AXX1007-001	MicroVendor2	GeneB	Tim Tuner	7/7/20	compbioteam@vorbio.com
S10124	File1=/vordemo/S10124	59	PPT	AXX1007-001	MicroVendor2	GeneC	Tim Tuner	7/7/20	compbioteam@vorbio.com
S10125	File1=/vordemo/S10125	64	PPT	AXX1007-001	MicroVendor2	GeneA	Tim Tuner	7/7/20	compbioteam@vorbio.com
S10126	File1=/vordemo/S10126	56	PPT	AXX1007-001	MicroVendor2	GeneA	Tim Tuner	7/7/20	compbioteam@vorbio.com
S10127	File1=/vordemo/S10127	75	PPT	AXX1007-001	MicroVendor2	GeneB	Tim Tuner	7/7/20	compbioteam@vorbio.com
S10128	File1=/vordemo/S10128	95	PPT	AXX1007-001	MicroVendor2	GeneC	Tim Tuner	7/7/20	compbioteam@vorbio.com
S10129	File1=/vordemo/S10129	87	PPT	AXX1007-001	MicroVendor2	GeneA	Tim Tuner	7/7/20	compbioteam@vorbio.com
S10130	File1=/vordemo/S10130	63	PPT	AXX1007-001	MicroVendor2	GeneA	Tim Tuner	7/7/20	compbioteam@vorbio.com
S10131	File1=/vordemo/S10131	82	PPT	AXX1007-001	MicroVendor2	GeneB	Tim Tuner	7/7/20	compbioteam@vorbio.com
S10132	File1=/vordemo/S10132	69	PPT	AXX1007-001	MicroVendor2	GeneC	Tim Tuner	7/7/20	compbioteam@vorbio.com
S10133	File1=/vordemo/S10133	87	PPT	AXX1007-001	MicroVendor2	GeneA	Tim Tuner	7/7/20	compbioteam@vorbio.com
S10134	File1=/vordemo/S10134	58	PPT	AXX1007-001	MicroVendor2	GeneA	Tim Tuner	7/7/20	compbioteam@vorbio.com
S10135	File1=/vordemo/S10135	90	PPT	AXX1007-001	MicroVendor2	GeneB	Tim Tuner	7/7/20	compbioteam@vorbio.com
S10136	File1=/vordemo/S10136	65	PPT	AXX1007-001	MicroVendor2	GeneC	Tim Tuner	7/7/20	compbioteam@vorbio.com
S10137	File1=/vordemo/S10137	89	PPT	AXX1007-001	MicroVendor2	GeneA	Tim Tuner	7/7/20	compbioteam@vorbio.com
S10138	File1=/vordemo/S10138	99	PPT	AXX1008-001	GeneVendor1	GeneA	Walls Street	7/14/20	compbioteam@vorbio.com
S10139	File1=/vordemo/S10139	88	PPT	AXX1008-001	GeneVendor1	GeneB	Walls Street	7/14/20	compbioteam@vorbio.com
S10140	File1=/vordemo/S10140	91	PPT	AXX1008-001	GeneVendor1	GeneC	Walls Street	7/14/20	compbioteam@vorbio.com
S10141	File1=/vordemo/S10141	54	PPT	AXX1008-001	GeneVendor1	GeneA	Walls Street	7/14/20	compbioteam@vorbio.com
S10142	File1=/vordemo/S10142	93	PPT	AXX1008-001	GeneVendor1	GeneA	Walls Street	7/14/20	compbioteam@vorbio.com
S10143	File1=/vordemo/S10143	91	PPT	AXX1008-001	GeneVendor1	GeneB	Walls Street	7/14/20	compbioteam@vorbio.com
S10144	File1=/vordemo/S10144	84	PPT	AXX1008-001	GeneVendor1	GeneC	Walls Street	7/14/20	compbioteam@vorbio.com
S10145	File1=/vordemo/S10145	99	PPT	AXX1008-001	GeneVendor1	GeneA	Walls Street	7/14/20	compbioteam@vorbio.com
S10146	File1=/vordemo/S10146	50	PPT	AXX1008-001	GeneVendor1	GeneA	Walls Street	7/14/20	compbioteam@vorbio.com
S10147	File1=/vordemo/S10147	92	PPT	AXX1008-001	GeneVendor1	GeneB	Walls Street	7/14/20	compbioteam@vorbio.com
S10148	File1=/vordemo/S10148	66	PPT	AXX1008-001	GeneVendor1	GeneC	Walls Street	7/14/20	compbioteam@vorbio.com
S10149	File1=/vordemo/S10149	95	PPT	AXX1008-001	GeneVendor1	GeneA	Walls Street	7/14/20	compbioteam@vorbio.com
S10150	File1=/vordemo/S10150	71	PPT	AXX1008-001	GeneVendor1	GeneA	Walls Street	7/14/20	compbioteam@vorbio.com
S10151	File1=/vordemo/S10151	94	PPT	AXX1008-001	GeneVendor1	GeneB	Walls Street	7/14/20	compbioteam@vorbio.com
S10152	File1=/vordemo/S10152	77	PPT	AXX1008-001	GeneVendor1	GeneC	Walls Street	7/14/20	compbioteam@vorbio.com
S10153	File1=/vordemo/S10153	96	PPT	AXX1008-001	GeneVendor1	GeneA	Walls Street	7/14/20	compbioteam@vorbio.com
S10154	File1=/vordemo/S10154	62	PPT	AXX1008-002	GeneVendor1	GeneA	Walls Street	7/14/20	compbioteam@vorbio.com
S10155	File1=/vordemo/S10155	97	PPT	AXX1008-002	GeneVendor1	GeneB	Walls Street	7/14/20	compbioteam@vorbio.com
S10156	File1=/vordemo/S10156	66	PPT	AXX1008-002	GeneVendor1	GeneC	Walls Street	7/14/20	compbioteam@vorbio.com
S10157	File1=/vordemo/S10157	50	PPT	AXX1008-002	GeneVendor1	GeneA	Walls Street	7/14/20	compbioteam@vorbio.com
S10158	File1=/vordemo/S10158	89	PPT	AXX1008-002	GeneVendor1	GeneA	Walls Street	7/14/20	compbioteam@vorbio.com
S10159	File1=/vordemo/S10159	73	PPT	AXX1008-002	GeneVendor1	GeneB	Walls Street	7/14/20	compbioteam@vorbio.com
S10160	File1=/vordemo/S10160	71	PPT	AXX1008-002	GeneVendor1	GeneC	Walls Street	7/14/20	compbioteam@vorbio.com
S10161	File1=/vordemo/S10161	75	PPT	AXX1008-002	GeneVendor1	GeneA	Walls Street	7/14/20	compbioteam@vorbio.com
S10162	File1=/vordemo/S10162	74	PPT	AXX1008-002	GeneVendor1	GeneA	Walls Street	7/14/20	compbioteam@vorbio.com
S10163	File1=/vordemo/S10163	85	PPT	AXX1008-002	GeneVendor1	GeneB	Walls Street	7/14/20	compbioteam@vorbio.com
S10164	File1=/vordemo/S10164	97	PPT	AXX1008-002	GeneVendor1	GeneC	Walls Street	7/14/20	compbioteam@vorbio.com
S10165	File1=/vordemo/S10165	50	PPT	AXX1008-002	GeneVendor1	GeneA	Walls Street	7/14/20	compbioteam@vorbio.com
S10166	File1=/vordemo/S10166	96	PPT	AXX1008-002	GeneVendor1	GeneA	Walls Street	7/14/20	compbioteam@vorbio.com
S10167	File1=/vordemo/S10167	95	PPT	AXX1008-002	GeneVendor1	GeneB	Walls Street	7/14/20	compbioteam@vorbio.com
S10168	File1=/vordemo/S10168	62	PPT	AXX1008-002	GeneVendor1	GeneC	Walls Street	7/14/20	compbioteam@vorbio.com
S10169	File1=/vordemo/S10169	65	PPT	AXX1008-002	GeneVendor1	GeneA	Walls Street	7/14/20	compbioteam@vorbio.com
S10170	File1=/vordemo/S10170	100	PPT	AXX1009-001	GeneVendor1	GeneA	Mike Est	7/29/20	compbioteam@vorbio.com
S10171	File1=/vordemo/S10171	92	PPT	AXX1009-001	GeneVendor1	GeneB	Mike Est	7/29/20	compbioteam@vorbio.com
S10172	File1=/vordemo/S10172	78	PPT	AXX1009-001	GeneVendor1	GeneC	Mike Est	7/29/20	compbioteam@vorbio.com
S10173	File1=/vordemo/S10173	79	PPT	AXX1009-001	GeneVendor1	GeneA	Mike Est	7/29/20	compbioteam@vorbio.com
S10174	File1=/vordemo/S10174	83	PPT	AXX1009-001	GeneVendor1	GeneA	Mike Est	7/29/20	compbioteam@vorbio.com
S10175	File1=/vordemo/S10175	50	PPT	AXX1009-001	GeneVendor1	GeneB	Mike Est	7/29/20	compbioteam@vorbio.com
S10176	File1=/vordemo/S10176	64	PPT	AXX1009-001	GeneVendor1	GeneC	Mike Est	7/29/20	compbioteam@vorbio.com
S10177	File1=/vordemo/S10177	73	PPT	AXX1009-001	GeneVendor1	GeneA	Mike Est	7/29/20	compbioteam@vorbio.com
S10178	File1=/vordemo/S10178	58	PPT	AXX1009-001	GeneVendor1	GeneA	Mike Est	7/29/20	compbioteam@vorbio.com
S10179	File1=/vordemo/S10179	70	PPT	AXX1009-001	GeneVendor1	GeneB	Mike Est	7/29/20	compbioteam@vorbio.com
S10180	File1=/vordemo/S10180	55	PPT	AXX1009-001	GeneVendor1	GeneC	Mike Est	7/29/20	compbioteam@vorbio.com
S10181	File1=/vordemo/S10181	53	PPT	AXX1009-001	GeneVendor1	GeneA	Mike Est	7/29/20	compbioteam@vorbio.com
S10182	File1=/vordemo/S10182	53	PPT	AXX1009-001	GeneVendor1	GeneA	Mike Est	7/29/20	compbioteam@vorbio.com
S10183	File1=/vordemo/S10183	75	PPT	AXX1009-001	GeneVendor1	GeneB	Mike Est	7/29/20	compbioteam@vorbio.com
S10184	File1=/vordemo/S10184	86	PPT	AXX1009-001	GeneVendor1	GeneC	Mike Est	7/29/20	compbioteam@vorbio.com
S10185	File1=/vordemo/S10185	79	PPT	AXX1009-001	GeneVendor1	GeneA	Mike Est	7/29/20	compbioteam@vorbio.com
S10186	File1=/vordemo/S10186	60	PPT	AXX1009-001	GeneVendor1	GeneA	Mike Est	7/29/20	compbioteam@vorbio.com
S10187	File1=/vordemo/S10187	100	PPT	AXX1009-001	GeneVendor1	GeneB	Mike Est	7/29/20	compbioteam@vorbio.com
S10188	File1=/vordemo/S10188	97	PPT	AXX1009-001	GeneVendor1	GeneC	Mike Est	7/29/20	compbioteam@vorbio.com
S10189	File1=/vordemo/S10189	97	PPT	AXX1009-001	GeneVendor1	GeneA	Mike Est	7/29/20	compbioteam@vorbio.com
S10190	File1=/vordemo/S10190	65	PPT	AXX1009-001	GeneVendor1	GeneA	Mike Est	7/29/20	compbioteam@vorbio.com
S10191	File1=/vordemo/S10191	78	PPT	AXX1009-001	GeneVendor1	GeneB	Mike Est	7/29/20	compbioteam@vorbio.com
S10192	File1=/vordemo/S10192	73	PPT	AXX1009-001	GeneVendor1	GeneC	Mike Est	7/29/20	compbioteam@vorbio.com
S10193	File1=/vordemo/S10193	68	PPT	AXX1009-001	GeneVendor1	GeneA	Mike Est	7/29/20	compbioteam@vorbio.com
S10194	File1=/vordemo/S10194	89	PPT	AXX1009-001	GeneVendor1	GeneA	Mike Est	7/29/20	compbioteam@vorbio.com
S10195	File1=/vordemo/S10195	58	PPT	AXX1009-001	GeneVendor1	GeneB	Mike Est	7/29/20	compbioteam@vorbio.com
S10196	File1=/vordemo/S10196	79	PPT	AXX1009-001	GeneVendor1	GeneC	Mike Est	7/29/20	compbioteam@vorbio.com
S10197	File1=/vordemo/S10197	53	PPT	AXX1009-001	GeneVendor1	GeneA	Mike Est	7/29/20	compbioteam@vorbio.com
S10198	File1=/vordemo/S10198	92	PPT	AXX1009-001	GeneVendor1	GeneA	Mike Est	7/29/20	compbioteam@vorbio.com
S10199	File1=/vordemo/S10199	89	PPT	AXX1009-001	GeneVendor1	GeneB	Mike Est	7/29/20	compbioteam@vorbio.com
S10200	File1=/vordemo/S10200	98	PPT	AXX1009-001	GeneVendor1	GeneC	Mike Est	7/29/20	compbioteam@vorbio.com
S10201	File1=/vordemo/S10201	53	PPT	AXX1009-001	GeneVendor1	GeneA	Mike Est	7/29/20	compbioteam@vorbio.com
